"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","fold","hidden_size","learning_rate","accuracy","f1_macro","f1_weighted","loss","precision_macro","precision_weighted","recall_macro","recall_weighted","roc_auc_ovo","roc_auc_ovr"
"TFG_MUL_bs(32)_lr(0.0001)_hs(49)_e(50)_fold(4)","finished","-","","","2025-06-03T22:51:10.000Z","170","","32","50","4","49","0.0001","0.5345484221980413","0.40154960888269525","0.5590205325800677","1.2569629086100538","0.36956492812981434","0.661294380125234","0.5839930644526596","0.5345484221980413","0.8923446407007406","0.8639963410050977"
"TFG_MUL_bs(32)_lr(0.0001)_hs(49)_e(50)_fold(3)","finished","-","","","2025-06-03T22:48:19.000Z","170","","32","50","3","49","0.0001","0.5535532131927916","0.4163137607491215","0.5750204612329948","1.2882638720714528","0.3880899793006693","0.67436167307044","0.5838667557489827","0.5535532131927916","0.8858554152184567","0.8591945082324277"
"TFG_MUL_bs(32)_lr(0.0001)_hs(49)_e(50)_fold(2)","finished","-","","","2025-06-03T22:45:25.000Z","173","","32","50","2","49","0.0001","0.5210472628357702","0.3824461796113284","0.5456518513270872","1.3120043054870938","0.35492805909064157","0.6540156120462897","0.5628314659143556","0.5210472628357702","0.8780846300383377","0.8476294580072415"
"TFG_MUL_bs(32)_lr(0.0001)_hs(49)_e(50)_fold(1)","finished","-","","","2025-06-03T22:42:33.000Z","170","","32","50","1","49","0.0001","0.5270316218973138","0.3912603784872451","0.5485636498008399","1.309171923411929","0.3621676703250134","0.6461765416217833","0.5552784371736249","0.5270316218973138","0.8774808632792331","0.8552071208488614"
"TFG_MUL_bs(32)_lr(0.0001)_hs(49)_e(30)_fold(5)","finished","-","","","2025-06-03T22:40:46.000Z","102","","32","30","5","49","0.0001","0.5365206746463548","0.3735057143345077","0.5482247869029375","1.348526566702387","0.3537284253126847","0.6566502815161975","0.5426923498527577","0.5365206746463548","0.8714498491187991","0.8413921556397826"
"TFG_MUL_bs(32)_lr(0.0001)_hs(49)_e(30)_fold(4)","finished","-","","","2025-06-03T22:39:04.000Z","101","","32","30","4","49","0.0001","0.49557943416757344","0.3639445588814346","0.5196438973436298","1.308668412786463","0.3415836359969356","0.6459960421256383","0.5658454286460923","0.49557943416757344","0.8821599663404213","0.8469757937255196"
"TFG_MUL_bs(32)_lr(0.0001)_hs(49)_e(30)_fold(3)","finished","-","","","2025-06-03T22:37:13.000Z","109","","32","30","3","49","0.0001","0.5048622917375043","0.36347188606727304","0.5287269690723306","1.3132407126219376","0.3412415353722624","0.6471913427772007","0.5598931085579074","0.5048622917375043","0.8821009346927772","0.8476284116459956"
"TFG_MUL_bs(32)_lr(0.0001)_hs(49)_e(30)_fold(2)","finished","-","","","2025-06-03T22:35:26.000Z","106","","32","30","2","49","0.0001","0.493233594015641","0.3510229108907698","0.517047836611739","1.3414102135793022","0.33351810146086447","0.6409894257438403","0.5507794738100001","0.493233594015641","0.8739691182435269","0.8413702168245167"
"TFG_MUL_bs(32)_lr(0.0001)_hs(49)_e(30)_fold(1)","finished","-","","","2025-06-03T22:33:45.000Z","100","","32","30","1","49","0.0001","0.5061543692621557","0.3567031487641477","0.5274498016348698","1.325004743039608","0.33458306957634654","0.6351054223952962","0.5438385161437265","0.5061543692621557","0.8752038162363305","0.8468857289216442"
"TFG_MUL_bs(32)_lr(0.0001)_hs(25)_e(80)_fold(5)","finished","-","","","2025-06-03T22:29:23.000Z","257","","32","80","5","25","0.0001","0.5618879216539717","0.37220880145792695","0.5707395176610354","1.3357221225033635","0.35703675648476746","0.6550555816820629","0.542901692533496","0.5618879216539717","0.8725129056657321","0.8460705433002281"
"TFG_MUL_bs(32)_lr(0.0001)_hs(25)_e(80)_fold(4)","finished","-","","","2025-06-03T22:25:04.000Z","258","","32","80","4","25","0.0001","0.5018362350380848","0.3719261744064515","0.5229001906705908","1.3223573264220487","0.3460771325283378","0.6316870853935013","0.5576852547558441","0.5018362350380848","0.8780145039325794","0.8459850907806785"
"TFG_MUL_bs(32)_lr(0.0001)_hs(25)_e(80)_fold(3)","finished","-","","","2025-06-03T22:20:43.000Z","260","","32","80","3","25","0.0001","0.5617137028221694","0.389279308566422","0.5746745152273476","1.329278412072555","0.3675725128865647","0.6553476781755547","0.5673878668389587","0.5617137028221694","0.8776677814866898","0.847240525549494"
"TFG_MUL_bs(32)_lr(0.0001)_hs(25)_e(80)_fold(2)","finished","-","","","2025-06-03T22:16:20.000Z","261","","32","80","2","25","0.0001","0.49466167970078206","0.3618027003963116","0.5125336330220042","1.3582628423105116","0.33921675464860707","0.6433358269535602","0.5442880205571172","0.49466167970078206","0.8710803639554793","0.8382853825178382"
"TFG_MUL_bs(32)_lr(0.0001)_hs(25)_e(80)_fold(1)","finished","-","","","2025-06-03T22:11:56.000Z","263","","32","80","1","25","0.0001","0.5209792587555253","0.35191841994843626","0.5407513640078451","1.3333128517088684","0.3336076774803572","0.6229068149629675","0.5323615786801534","0.5209792587555253","0.8749091441305432","0.8457331499012223"
"TFG_MUL_bs(32)_lr(0.0001)_hs(25)_e(50)_fold(5)","finished","-","","","2025-06-03T22:09:05.000Z","166","","32","50","5","25","0.0001","0.49571545157780195","0.3543332730723474","0.5182931502279198","1.3811024765605513","0.3351109666534252","0.6331423613116884","0.5208055764864865","0.49571545157780195","0.863671300246057","0.835206972660893"
"TFG_MUL_bs(32)_lr(0.0001)_hs(25)_e(50)_fold(4)","finished","-","","","2025-06-03T22:06:18.000Z","166","","32","50","4","25","0.0001","0.5503264417845484","0.3914795488245046","0.5574656840642551","1.3380854039736416","0.36806649101212385","0.6515036733757232","0.5620115244873207","0.5503264417845484","0.8739586874774878","0.8448603901491563"
"TFG_MUL_bs(32)_lr(0.0001)_hs(25)_e(50)_fold(3)","finished","-","","","2025-06-03T22:03:27.000Z","169","","32","50","3","25","0.0001","0.5103026181570894","0.3615819640887413","0.5335428580744727","1.3511656709987183","0.33701927450323654","0.6391484571257541","0.5525923536634658","0.5103026181570894","0.8732359805385276","0.8411575430756666"
"TFG_MUL_bs(32)_lr(0.0001)_hs(25)_e(50)_fold(2)","finished","-","","","2025-06-03T22:00:40.000Z","165","","32","50","2","25","0.0001","0.4962257735464128","0.35807660146565906","0.5176548553977939","1.3803383608875068","0.33459102604312013","0.6324163704280081","0.5412835198742714","0.4962257735464128","0.8646549971631665","0.8316715315800306"
"TFG_MUL_bs(32)_lr(0.0001)_hs(25)_e(50)_fold(1)","finished","-","","","2025-06-03T21:57:55.000Z","164","","32","50","1","25","0.0001","0.5442366541992519","0.38905266363894","0.5571958773778092","1.3390959621771523","0.36275327217555536","0.6482370080065558","0.5505445516785636","0.5442366541992519","0.8726627498341766","0.8441617665978602"
"TFG_MUL_bs(32)_lr(0.0001)_hs(25)_e(30)_fold(5)","finished","-","","","2025-06-03T21:56:08.000Z","102","","32","30","5","25","0.0001","0.47789717083786726","0.33555710414241413","0.5003238582521672","1.4120934341912683","0.3209787584840236","0.6184049160908581","0.5068946532295159","0.47789717083786726","0.8550026275460779","0.8228288877640212"
"TFG_MUL_bs(32)_lr(0.0001)_hs(25)_e(30)_fold(4)","finished","-","","","2025-06-03T21:54:25.000Z","102","","32","30","4","25","0.0001","0.4836779107725789","0.32096932736730954","0.5031213878596874","1.3886632829904555","0.3124289158526808","0.6178561193909314","0.5349230249108214","0.4836779107725789","0.860438565605318","0.824849700565674"
"TFG_MUL_bs(32)_lr(0.0001)_hs(25)_e(30)_fold(3)","finished","-","","","2025-06-03T21:52:45.000Z","99","","32","30","3","25","0.0001","0.5166269976198572","0.3477980514692396","0.5354713626536268","1.3878605904138606","0.3297747358852033","0.6389619821088173","0.5466940940959799","0.5166269976198572","0.8639307210464877","0.828720071653891"
"TFG_MUL_bs(32)_lr(0.0001)_hs(25)_e(30)_fold(2)","finished","-","","","2025-06-03T21:51:06.000Z","97","","32","30","2","25","0.0001","0.49554573274396463","0.33720839365688343","0.5139231587981276","1.4098518106600513","0.32218625614781443","0.6281237924840033","0.530478821937376","0.49554573274396463","0.8567875143371473","0.8226349764469474"
"TFG_MUL_bs(32)_lr(0.0001)_hs(25)_e(30)_fold(1)","finished","-","","","2025-06-03T21:49:23.000Z","102","","32","30","1","25","0.0001","0.47147228833730026","0.3304166934401372","0.4975456500526345","1.389707077326982","0.3145728883421803","0.6165450604111896","0.5207472115650194","0.47147228833730026","0.8604885248109464","0.8245596501780041"
"TFG_MUL_bs(32)_lr(0.001)_hs(98)_e(80)_fold(5)","finished","-","","","2025-06-03T21:44:35.000Z","283","","32","80","5","98","0.001","0.4940832426550599","0.40877589531931274","0.5258666716327565","1.318372146979622","0.3882431776314448","0.6552367246612428","0.5453654874040149","0.4940832426550599","0.8835558606732141","0.8647587244104926"
"TFG_MUL_bs(32)_lr(0.001)_hs(98)_e(80)_fold(4)","finished","-","","","2025-06-03T21:39:49.000Z","285","","32","80","4","98","0.001","0.5245511425462459","0.43746534143117566","0.5462186786476835","1.2398640623559125","0.4142999829838241","0.6820639868249113","0.5907097564566148","0.5245511425462459","0.8919839560221033","0.8709366396487893"
"TFG_MUL_bs(32)_lr(0.001)_hs(98)_e(80)_fold(3)","finished","-","","","2025-06-03T21:35:03.000Z","285","","32","80","3","98","0.001","0.5077864671880313","0.41130894332825585","0.5352165656211133","1.3091776807994946","0.4152252383974668","0.6920498605457713","0.5460452337415495","0.5077864671880313","0.8815032360350742","0.8667911782927736"
"TFG_MUL_bs(32)_lr(0.001)_hs(98)_e(80)_fold(2)","finished","-","","","2025-06-03T21:30:14.000Z","288","","32","80","2","98","0.001","0.5227473648418905","0.3705485521825592","0.5523834473067523","1.2693557754158973","0.3511379139056514","0.65297574406155","0.5744759119028894","0.5227473648418905","0.8873256949491029","0.8643220591132071"
"TFG_MUL_bs(32)_lr(0.001)_hs(98)_e(80)_fold(1)","finished","-","","","2025-06-03T21:24:58.000Z","315","","32","80","1","98","0.001","0.5032981978918735","0.41160093920775087","0.5311922452727413","1.2389752295354135","0.38385946126646714","0.6645834769232627","0.5739904412359753","0.5032981978918735","0.8959703034356861","0.8743779225643606"
"TFG_MUL_bs(32)_lr(0.001)_hs(98)_e(50)_fold(5)","finished","-","","","2025-06-03T21:21:34.000Z","199","","32","50","5","98","0.001","0.5197225244831338","0.41551414465443487","0.53778812051844","1.277483626940976","0.3910977847996905","0.6633153384882308","0.5611545977256834","0.5197225244831338","0.8905729336151309","0.8665403767432308"
"TFG_MUL_bs(32)_lr(0.001)_hs(98)_e(50)_fold(4)","finished","-","","","2025-06-03T21:18:16.000Z","196","","32","50","4","98","0.001","0.5247551686615887","0.4270851431474979","0.5448281660857006","1.234668446008278","0.40372813072811264","0.6632370178853723","0.5847106321940054","0.5247551686615887","0.8982470793977664","0.8733532125755421"
"TFG_MUL_bs(32)_lr(0.001)_hs(98)_e(50)_fold(3)","finished","-","","","2025-06-03T21:15:00.000Z","195","","32","50","3","98","0.001","0.5545732743964638","0.4260074163190861","0.57449950567161","1.266004179418087","0.3949786068117209","0.6660725769687001","0.5777686607275283","0.5545732743964638","0.8926501017393682","0.8694273012604479"
"TFG_MUL_bs(32)_lr(0.001)_hs(98)_e(50)_fold(2)","finished","-","","","2025-06-03T21:11:45.000Z","194","","32","50","2","98","0.001","0.5096225773546412","0.40331504230296783","0.5437029292154653","1.2666754367558852","0.3781226992886657","0.6566965148920819","0.5758882499120878","0.5096225773546412","0.8911116948596545","0.8619937004108199"
"TFG_MUL_bs(32)_lr(0.001)_hs(98)_e(50)_fold(1)","finished","-","","","2025-06-03T21:08:25.000Z","199","","32","50","1","98","0.001","0.48480108806528394","0.3999031031359648","0.5231781381472901","1.306765727698803","0.37605365425530635","0.6516911466647193","0.5477112595005417","0.48480108806528394","0.8809954991212123","0.858173206933018"
"TFG_MUL_bs(32)_lr(0.001)_hs(98)_e(30)_fold(5)","finished","-","","","2025-06-03T21:06:20.000Z","120","","32","30","5","98","0.001","0.5455658324265505","0.41678537174161545","0.5738940156605705","1.2976875741844591","0.3919022488934172","0.6629910668833952","0.5611079538388664","0.5455658324265505","0.8849350638335441","0.8612658033304842"
"TFG_MUL_bs(32)_lr(0.001)_hs(98)_e(30)_fold(4)","finished","-","","","2025-06-03T21:04:11.000Z","128","","32","30","4","98","0.001","0.5504624591947769","0.4517822867635132","0.5657572668543556","1.2393197495004404","0.4191189143674095","0.6661252304657515","0.592112622297789","0.5504624591947769","0.8931872690554348","0.8731089561933152"
"TFG_MUL_bs(32)_lr(0.001)_hs(98)_e(30)_fold(3)","finished","-","","","2025-06-03T21:02:11.000Z","119","","32","30","3","98","0.001","0.4789527371642298","0.4060639987335454","0.5125622175501167","1.2892173322646514","0.3812569561846912","0.6699274714678936","0.5776520499962982","0.4789527371642298","0.8889734317692961","0.8664742767710201"
"TFG_MUL_bs(32)_lr(0.001)_hs(98)_e(30)_fold(2)","finished","-","","","2025-06-03T21:00:09.000Z","121","","32","30","2","98","0.001","0.5260795647738864","0.4055820170730711","0.5611449601042502","1.2771776852400407","0.3912669279901617","0.6725319027708565","0.5752736801256041","0.5260795647738864","0.8885767349589604","0.858715837656046"
"TFG_MUL_bs(32)_lr(0.001)_hs(98)_e(30)_fold(1)","finished","-","","","2025-06-03T20:58:09.000Z","119","","32","30","1","98","0.001","0.4886773206392384","0.387707255712445","0.49608468070271655","1.321847718824511","0.36682508400660807","0.634015436412467","0.5451577364224955","0.4886773206392384","0.8796024738691016","0.8592182480076275"
"TFG_MUL_bs(32)_lr(0.001)_hs(49)_e(80)_fold(5)","finished","-","","","2025-06-03T20:53:06.000Z","298","","32","80","5","49","0.001","0.5347524483133841","0.4143661508389349","0.5642674072323647","1.2853947590226713","0.4109132869049514","0.6993872661088343","0.5606215698926105","0.5347524483133841","0.8883119561175987","0.8660956370510513"
"TFG_MUL_bs(32)_lr(0.001)_hs(49)_e(80)_fold(4)","finished","-","","","2025-06-03T20:48:08.000Z","296","","32","80","4","49","0.001","0.5335282916213275","0.42118471926851775","0.5553097180823927","1.2476942098659018","0.3932502843014311","0.6683943938822854","0.584199243104003","0.5335282916213275","0.8954828303848363","0.8682426035855796"
"TFG_MUL_bs(32)_lr(0.001)_hs(49)_e(80)_fold(3)","finished","-","","","2025-06-03T20:43:12.000Z","295","","32","80","3","49","0.001","0.5488609316558993","0.4077568889184743","0.5689421935157967","1.2831631441479143","0.394458213734417","0.6767634815478117","0.5762654834450677","0.5488609316558993","0.8917897472595477","0.8635954196542013"
"TFG_MUL_bs(32)_lr(0.001)_hs(49)_e(80)_fold(2)","finished","-","","","2025-06-03T20:38:02.000Z","309","","32","80","2","49","0.001","0.5052703162189731","0.3688716104097035","0.4900133195322199","1.3813226979063904","0.3843736363186303","0.6403939136588711","0.5221011231150468","0.5052703162189731","0.8733815882146573","0.8568294246748622"
"TFG_MUL_bs(32)_lr(0.001)_hs(49)_e(80)_fold(1)","finished","-","","","2025-06-03T20:33:01.000Z","300","","32","80","1","49","0.001","0.5824549472968378","0.42428848478668474","0.5860354696478471","1.375964429391467","0.4027802933652096","0.6539688163843623","0.5573459234843764","0.5824549472968378","0.8744521904865368","0.8551037179886042"
